Image	timel_ids	timel_labels	timel_ids_list	timel_labels_list	_image_value	image_path_by_name	_image_idx	image_path_by_idx	image_path	timel_label_from_id	timel_label_list_from_ids	row_label_ids	level_3_labels	level_3_text	level_4_labels	level_4_text	level_5_labels	level_5_text	level_6_labels	level_6_text	level_7_labels	level_7_text	level_8_labels	level_8_text	_clip_text	taxonomy_level	clip_text	clip_pair_logit	clip_pair_cosine	num_level_labels	pred_index	pred_timel_label	pred_proba
000034.jpg	tm-hwbpfzqq;tm-sgdxywfz;tm-5adgngxc;tm-fwrnui8f;tm-gbucvvq7;tm-rwshbisj;tm-9kefvmxz;tm-v4tpboqn;tm-sv297fut;tm-l66mtgn3;tm-labqwtqc;tm-rv3awyda;tm-iv4xh9vr;tm-fhygwvhh;tm-wn7xh6hg;tm-z7yqwjx3;tm-zk5macbs;tm-vhj2urqn	Christ;saint Pierre;Judas;pain;couteau;plat;siège (meuble);table;cuve;lampe;Cène;Christ lavant les pieds des apôtres;don;communion;lavement des pieds;repas;poisson;eau	"[""tm-hwbpfzqq"", ""tm-sgdxywfz"", ""tm-5adgngxc"", ""tm-fwrnui8f"", ""tm-gbucvvq7"", ""tm-rwshbisj"", ""tm-9kefvmxz"", ""tm-v4tpboqn"", ""tm-sv297fut"", ""tm-l66mtgn3"", ""tm-labqwtqc"", ""tm-rv3awyda"", ""tm-iv4xh9vr"", ""tm-fhygwvhh"", ""tm-wn7xh6hg"", ""tm-z7yqwjx3"", ""tm-zk5macbs"", ""tm-vhj2urqn""]"	"[""Christ"", ""saint Pierre"", ""Judas"", ""pain"", ""couteau"", ""plat"", ""siège (meuble)"", ""table"", ""cuve"", ""lampe"", ""Cène"", ""Christ lavant les pieds des apôtres"", ""don"", ""communion"", ""lavement des pieds"", ""repas"", ""poisson"", ""eau""]"	000034.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	34	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg		['juin', 'balance', 'tables de la loi', 'mortier', 'moustique', 'maison', 'escargot', 'château', 'château', 'moustique', 'mortier', 'tables de la loi', 'anatomie', 'tables de la loi', 'château', 'juin', 'hérisson']	['tm-hwbpfzqq', 'tm-sgdxywfz', 'tm-5adgngxc', 'tm-fwrnui8f', 'tm-gbucvvq7', 'tm-rwshbisj', 'tm-9kefvmxz', 'tm-v4tpboqn', 'tm-sv297fut', 'tm-l66mtgn3', 'tm-labqwtqc', 'tm-rv3awyda', 'tm-iv4xh9vr', 'tm-fhygwvhh', 'tm-wn7xh6hg', 'tm-z7yqwjx3', 'tm-zk5macbs', 'tm-vhj2urqn', '5', '8', '7', '9', '4', '297', '66', '3', '6', '2']	['Christ', 'pain', 'couteau', 'plat', 'siège (meuble)', 'table', 'cuve', 'lampe', 'don', 'communion', 'lavement des pieds', 'repas', 'eau']	Christ; pain; couteau; plat; siège (meuble); table; cuve; lampe; don; communion; lavement des pieds; repas; eau	['saint Pierre', 'Judas', 'poisson']	saint Pierre; Judas; poisson	[]		['Cène', 'Christ lavant les pieds des apôtres']	Cène; Christ lavant les pieds des apôtres	[]		[]		Cène; Christ lavant les pieds des apôtres	6	Cène; Christ lavant les pieds des apôtres	26.570765	0.26570764	2	342	Judas rendant les trente deniers à Caïphe	0.2194521
000207.jpg	tm-msrzrwxs;tm-kewga8kz;tm-pfwxhqgh;tm-gpu9gq8p;tm-zk5macbs;tm-bqscor5q;tm-hvmbbgkw;tm-pfvwqfgm;tm-vhj2urqn;tm-wm29lpvh;tm-qucshbfi;tm-xqrthxrm;tm-hywxiizx	Dieu;création des poissons et des oiseaux;envol;anguille;poisson;oiseau;nuée;Terre;eau;lumière-rayon;étoile;soleil (sphère céleste);ciel	"[""tm-msrzrwxs"", ""tm-kewga8kz"", ""tm-pfwxhqgh"", ""tm-gpu9gq8p"", ""tm-zk5macbs"", ""tm-bqscor5q"", ""tm-hvmbbgkw"", ""tm-pfvwqfgm"", ""tm-vhj2urqn"", ""tm-wm29lpvh"", ""tm-qucshbfi"", ""tm-xqrthxrm"", ""tm-hywxiizx""]"	"[""Dieu"", ""création des poissons et des oiseaux"", ""envol"", ""anguille"", ""poisson"", ""oiseau"", ""nuée"", ""Terre"", ""eau"", ""lumière-rayon"", ""étoile"", ""soleil (sphère céleste)"", ""ciel""]"	000207.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000207.jpg	207	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000207.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000207.jpg		['balance', 'mortier', 'balance', 'juin', 'juin', 'hérisson', 'Moïse et Aaron devant Pharaon']	['tm-msrzrwxs', 'tm-kewga8kz', 'tm-pfwxhqgh', 'tm-gpu9gq8p', 'tm-zk5macbs', 'tm-bqscor5q', 'tm-hvmbbgkw', 'tm-pfvwqfgm', 'tm-vhj2urqn', 'tm-wm29lpvh', 'tm-qucshbfi', 'tm-xqrthxrm', 'tm-hywxiizx', '8', '9', '5', '2', '29']	['Dieu', 'envol', 'nuée', 'Terre', 'eau', 'lumière-rayon', 'ciel']	Dieu; envol; nuée; Terre; eau; lumière-rayon; ciel	['anguille', 'poisson', 'oiseau', 'Terre', 'étoile', 'soleil (sphère céleste)']	anguille; poisson; oiseau; Terre; étoile; soleil (sphère céleste)	[]		['création des poissons et des oiseaux']	création des poissons et des oiseaux	[]		[]		création des poissons et des oiseaux	6	création des poissons et des oiseaux	13.438156	0.13438156	1	1480	Christ et la pêche miraculeuse	0.40118524
000253.jpg	tm-duxo4cw7;tm-cuqtzlfj;tm-vx2bdgtc;tm-cat27oby;tm-cyrdqdmq;tm-efvqujfg;tm-f7ixh9g3;tm-pfptrntr;tm-auuaj3db;tm-vhj2urqn;tm-umdqguzy	Moïse;bâton;sortie d'Égypte;désignation;franchissement;guide;départ;sortie;mer Rouge;eau;corne (corps humain et animal)	"[""tm-duxo4cw7"", ""tm-cuqtzlfj"", ""tm-vx2bdgtc"", ""tm-cat27oby"", ""tm-cyrdqdmq"", ""tm-efvqujfg"", ""tm-f7ixh9g3"", ""tm-pfptrntr"", ""tm-auuaj3db"", ""tm-vhj2urqn"", ""tm-umdqguzy""]"	"[""Moïse"", ""bâton"", ""sortie d'Égypte"", ""désignation"", ""franchissement"", ""guide"", ""départ"", ""sortie"", ""mer Rouge"", ""eau"", ""corne (corps humain et animal)""]"	000253.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000253.jpg	253	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000253.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000253.jpg		['moustique', 'tables de la loi', 'hérisson', 'Isaac', 'tables de la loi', 'mortier', 'château', 'château', 'hérisson']	['tm-duxo4cw7', 'tm-cuqtzlfj', 'tm-vx2bdgtc', 'tm-cat27oby', 'tm-cyrdqdmq', 'tm-efvqujfg', 'tm-f7ixh9g3', 'tm-pfptrntr', 'tm-auuaj3db', 'tm-vhj2urqn', 'tm-umdqguzy', '4', '7', '2', '27', '9', '3']	['bâton', 'désignation', 'franchissement', 'guide', 'départ', 'sortie', 'eau', 'corne (corps humain et animal)']	bâton; désignation; franchissement; guide; départ; sortie; eau; corne (corps humain et animal)	['Moïse', 'mer Rouge']	Moïse; mer Rouge	[]		"[""sortie d'Égypte""]"	sortie d'Égypte	[]		[]		sortie d'Égypte	6	sortie d'Égypte	15.621802	0.15621802	1	1405	Louis IV d'Outremer	0.28495118
000279.jpg	tm-7vxqehgi;tm-msrzrwxs;tm-wqg2nktt;tm-sz7srifg;tm-mqvexyu4;tm-svcahr7m;tm-h7vxh9ju;tm-hxm4mzvu;tm-wtnt2nl3;tm-mg4wybom;tm-6pbjxilu;tm-b8j3oono;tm-hvmbbgkw;tm-sxnxdfha	Église (personnifications et allégories);Dieu;ange;couronne;croix;calice;création de la lumière;damnation;salut;Enfer;feu;ténèbre;nuée;lumière	"[""tm-7vxqehgi"", ""tm-msrzrwxs"", ""tm-wqg2nktt"", ""tm-sz7srifg"", ""tm-mqvexyu4"", ""tm-svcahr7m"", ""tm-h7vxh9ju"", ""tm-hxm4mzvu"", ""tm-wtnt2nl3"", ""tm-mg4wybom"", ""tm-6pbjxilu"", ""tm-b8j3oono"", ""tm-hvmbbgkw"", ""tm-sxnxdfha""]"	"[""Église (personnifications et allégories)"", ""Dieu"", ""ange"", ""couronne"", ""croix"", ""calice"", ""création de la lumière"", ""damnation"", ""salut"", ""Enfer"", ""feu"", ""ténèbre"", ""nuée"", ""lumière""]"	000279.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000279.jpg	279	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000279.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000279.jpg		['tables de la loi', 'hérisson', 'tables de la loi', 'moustique', 'tables de la loi', 'tables de la loi', 'mortier', 'moustique', 'hérisson', 'château', 'moustique', 'anatomie', 'balance', 'château']	['tm-7vxqehgi', 'tm-msrzrwxs', 'tm-wqg2nktt', 'tm-sz7srifg', 'tm-mqvexyu4', 'tm-svcahr7m', 'tm-h7vxh9ju', 'tm-hxm4mzvu', 'tm-wtnt2nl3', 'tm-mg4wybom', 'tm-6pbjxilu', 'tm-b8j3oono', 'tm-hvmbbgkw', 'tm-sxnxdfha', '7', '2', '4', '9', '3', '6', '8']	['Église (personnifications et allégories)', 'Dieu', 'couronne', 'croix', 'calice', 'damnation', 'salut', 'feu', 'ténèbre', 'nuée', 'lumière']	Église (personnifications et allégories); Dieu; couronne; croix; calice; damnation; salut; feu; ténèbre; nuée; lumière	['ange', 'Enfer']	ange; Enfer	[]		['création de la lumière']	création de la lumière	[]		[]		création de la lumière	6	création de la lumière	18.513277	0.18513277	1	2268	combat entre Judas Maccabée et les ennemis d'Israël	0.22374941
000816.jpg	tm-anhzraqq;tm-hwbpfzqq;tm-wqg2nktt;tm-exqwtzeu;tm-nbx9bzha;tm-d9fpbefh;tm-kc5ukqpv;tm-6m8nrco5;tm-wcfk7zjj;tm-eqnskbnq;tm-zpykzvd3;tm-vhj2urqn	Esprit-Saint;Christ;ange;saint Jean-Baptiste;vêtement;baptême du Christ;baptême;nudité;Jourdain;arbre;colombe;eau	"[""tm-anhzraqq"", ""tm-hwbpfzqq"", ""tm-wqg2nktt"", ""tm-exqwtzeu"", ""tm-nbx9bzha"", ""tm-d9fpbefh"", ""tm-kc5ukqpv"", ""tm-6m8nrco5"", ""tm-wcfk7zjj"", ""tm-eqnskbnq"", ""tm-zpykzvd3"", ""tm-vhj2urqn""]"	"[""Esprit-Saint"", ""Christ"", ""ange"", ""saint Jean-Baptiste"", ""vêtement"", ""baptême du Christ"", ""baptême"", ""nudité"", ""Jourdain"", ""arbre"", ""colombe"", ""eau""]"	000816.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000816.jpg	816	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000816.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000816.jpg		['hérisson', 'mortier', 'mortier', 'juin', 'anatomie', 'balance', 'juin', 'tables de la loi', 'château', 'hérisson']	['tm-anhzraqq', 'tm-hwbpfzqq', 'tm-wqg2nktt', 'tm-exqwtzeu', 'tm-nbx9bzha', 'tm-d9fpbefh', 'tm-kc5ukqpv', 'tm-6m8nrco5', 'tm-wcfk7zjj', 'tm-eqnskbnq', 'tm-zpykzvd3', 'tm-vhj2urqn', '2', '9', '5', '6', '8', '7', '3']	['Esprit-Saint', 'Christ', 'saint Jean-Baptiste', 'vêtement', 'baptême', 'nudité', 'eau']	Esprit-Saint; Christ; saint Jean-Baptiste; vêtement; baptême; nudité; eau	['ange', 'saint Jean-Baptiste', 'Jourdain', 'arbre', 'colombe']	ange; saint Jean-Baptiste; Jourdain; arbre; colombe	[]		['baptême du Christ']	baptême du Christ	[]		[]		baptême du Christ	6	baptême du Christ	24.09009	0.2409009	1	712	Balaam et l'ânesse arrêtés par un ange	0.35166496
000893.jpg	tm-o22sq8nn;tm-pggyeffj;tm-cuqtzlfj;tm-zaiuvu3a;tm-vx2bdgtc;tm-efvqujfg;tm-f7ixh9g3;tm-pfptrntr;tm-tkpsxzbb;tm-zehoqdvg	enfant;Hébreu;bâton;lange;sortie d'Égypte;guide;départ;sortie;fuite;marche	"[""tm-o22sq8nn"", ""tm-pggyeffj"", ""tm-cuqtzlfj"", ""tm-zaiuvu3a"", ""tm-vx2bdgtc"", ""tm-efvqujfg"", ""tm-f7ixh9g3"", ""tm-pfptrntr"", ""tm-tkpsxzbb"", ""tm-zehoqdvg""]"	"[""enfant"", ""Hébreu"", ""bâton"", ""lange"", ""sortie d'Égypte"", ""guide"", ""départ"", ""sortie"", ""fuite"", ""marche""]"	000893.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000893.jpg	893	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000893.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000893.jpg		['os', 'balance', 'château', 'hérisson', 'tables de la loi', 'mortier', 'château']	['tm-o22sq8nn', 'tm-pggyeffj', 'tm-cuqtzlfj', 'tm-zaiuvu3a', 'tm-vx2bdgtc', 'tm-efvqujfg', 'tm-f7ixh9g3', 'tm-pfptrntr', 'tm-tkpsxzbb', 'tm-zehoqdvg', '22', '8', '3', '2', '7', '9']	['bâton', 'lange', 'guide', 'départ', 'sortie', 'fuite', 'marche']	bâton; lange; guide; départ; sortie; fuite; marche	['enfant', 'Hébreu']	enfant; Hébreu	[]		"[""sortie d'Égypte""]"	sortie d'Égypte	[]		[]		sortie d'Égypte	6	sortie d'Égypte	13.0344715	0.13034472	1	1405	Louis IV d'Outremer	0.25407803
000942.jpg	tm-wdxn3qrx;tm-o22sq8nn;tm-h5p48lfk;tm-trtnhhdd;tm-sz7srifg;tm-9kefvmxz;tm-4a7uh6qs;tm-ivsdfebq;tm-qpyshudm;tm-kgblaf2c;tm-2vzflzsk;tm-sbgpzwhn;tm-ymenrpoz;tm-6m8nrco5	Salomon;enfant;soldat;roi;couronne;siège (meuble);casque;épée;armure;jugement de Salomon;saisie;requête;jugement;nudité	"[""tm-wdxn3qrx"", ""tm-o22sq8nn"", ""tm-h5p48lfk"", ""tm-trtnhhdd"", ""tm-sz7srifg"", ""tm-9kefvmxz"", ""tm-4a7uh6qs"", ""tm-ivsdfebq"", ""tm-qpyshudm"", ""tm-kgblaf2c"", ""tm-2vzflzsk"", ""tm-sbgpzwhn"", ""tm-ymenrpoz"", ""tm-6m8nrco5""]"	"[""Salomon"", ""enfant"", ""soldat"", ""roi"", ""couronne"", ""siège (meuble)"", ""casque"", ""épée"", ""armure"", ""jugement de Salomon"", ""saisie"", ""requête"", ""jugement"", ""nudité""]"	000942.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000942.jpg	942	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000942.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000942.jpg		"['château', 'os', 'balance', 'juin', ""ange déversant la troisième coupe de l'Apocalypse"", 'tables de la loi', 'mortier', 'moustique', 'tables de la loi', 'anatomie', 'hérisson', 'hérisson', 'anatomie', 'balance', 'juin']"	['tm-wdxn3qrx', 'tm-o22sq8nn', 'tm-h5p48lfk', 'tm-trtnhhdd', 'tm-sz7srifg', 'tm-9kefvmxz', 'tm-4a7uh6qs', 'tm-ivsdfebq', 'tm-qpyshudm', 'tm-kgblaf2c', 'tm-2vzflzsk', 'tm-sbgpzwhn', 'tm-ymenrpoz', 'tm-6m8nrco5', '3', '22', '8', '5', '48', '7', '9', '4', '6', '2']	['Salomon', 'couronne', 'siège (meuble)', 'casque', 'épée', 'armure', 'saisie', 'requête', 'jugement', 'nudité']	Salomon; couronne; siège (meuble); casque; épée; armure; saisie; requête; jugement; nudité	['enfant', 'soldat', 'roi']	enfant; soldat; roi	[]		['jugement de Salomon']	jugement de Salomon	[]		[]		jugement de Salomon	6	jugement de Salomon	22.19688	0.2219688	1	1405	Louis IV d'Outremer	0.21122451
001137.jpg	tm-wqg2nktt;tm-kkotaquv;tm-6v4cwd8i;tm-a6ktghrz;tm-ggtqslg5;tm-ufpdajh6;tm-hhbbvyty;tm-eqnskbnq;tm-vhj2urqn;tm-wuq737iz;tm-oo7jtili	ange;saint Jean;bateau;sceau;sixième sceau de l'Apocalypse : anges retenant les vents;vision;navigation;arbre;eau;vent;mer	"[""tm-wqg2nktt"", ""tm-kkotaquv"", ""tm-6v4cwd8i"", ""tm-a6ktghrz"", ""tm-ggtqslg5"", ""tm-ufpdajh6"", ""tm-hhbbvyty"", ""tm-eqnskbnq"", ""tm-vhj2urqn"", ""tm-wuq737iz"", ""tm-oo7jtili""]"	"[""ange"", ""saint Jean"", ""bateau"", ""sceau"", ""sixième sceau de l'Apocalypse : anges retenant les vents"", ""vision"", ""navigation"", ""arbre"", ""eau"", ""vent"", ""mer""]"	001137.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001137.jpg	1137	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001137.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001137.jpg		"['hérisson', 'anatomie', 'moustique', 'balance', 'anatomie', 'juin', 'anatomie', 'hérisson', ""masse d'arme"", 'tables de la loi']"	['tm-wqg2nktt', 'tm-kkotaquv', 'tm-6v4cwd8i', 'tm-a6ktghrz', 'tm-ggtqslg5', 'tm-ufpdajh6', 'tm-hhbbvyty', 'tm-eqnskbnq', 'tm-vhj2urqn', 'tm-wuq737iz', 'tm-oo7jtili', '2', '6', '4', '8', '5', '737', '7']	['bateau', 'sceau', 'vision', 'navigation', 'eau', 'vent', 'mer']	bateau; sceau; vision; navigation; eau; vent; mer	['ange', 'saint Jean', 'arbre']	ange; saint Jean; arbre	[]		"[""sixième sceau de l'Apocalypse : anges retenant les vents""]"	sixième sceau de l'Apocalypse : anges retenant les vents	[]		[]		sixième sceau de l'Apocalypse : anges retenant les vents	6	sixième sceau de l'Apocalypse : anges retenant les vents	22.751972	0.22751972	1	2268	combat entre Judas Maccabée et les ennemis d'Israël	0.30645153
001184.jpg	tm-wqg2nktt;tm-b5fpozqn;tm-6v4cwd8i;tm-3tmpspdf;tm-hhbbvyty;tm-cg3ybjwk;tm-oo7jtili	ange;meule (outils et instruments divers);bateau;ange jetant une meule dans la mer;navigation;jet;mer	"[""tm-wqg2nktt"", ""tm-b5fpozqn"", ""tm-6v4cwd8i"", ""tm-3tmpspdf"", ""tm-hhbbvyty"", ""tm-cg3ybjwk"", ""tm-oo7jtili""]"	"[""ange"", ""meule (outils et instruments divers)"", ""bateau"", ""ange jetant une meule dans la mer"", ""navigation"", ""jet"", ""mer""]"	001184.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001184.jpg	1184	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001184.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001184.jpg		['hérisson', 'juin', 'anatomie', 'moustique', 'balance', 'château', 'château', 'tables de la loi']	['tm-wqg2nktt', 'tm-b5fpozqn', 'tm-6v4cwd8i', 'tm-3tmpspdf', 'tm-hhbbvyty', 'tm-cg3ybjwk', 'tm-oo7jtili', '2', '5', '6', '4', '8', '3', '7']	['meule (outils et instruments divers)', 'bateau', 'navigation', 'jet', 'mer']	meule (outils et instruments divers); bateau; navigation; jet; mer	['ange']	ange	[]		['ange jetant une meule dans la mer']	ange jetant une meule dans la mer	[]		[]		ange jetant une meule dans la mer	6	ange jetant une meule dans la mer	30.168169	0.3016817	1	712	Balaam et l'ânesse arrêtés par un ange	0.27191398
001303.jpg	tm-xealmd2j;tm-hwbpfzqq;tm-tprdjwil;tm-nbx9bzha;tm-fmytavcm;tm-havgveuu;tm-a82fhexi;tm-t3eufvzb;tm-w7lp2rnh;tm-z9mwuhfr;tm-yvakcef7;tm-eqnskbnq;tm-zwcdxnyc;tm-yp7umyrf	prophète;Christ;Juif;vêtement;phylactère;livre;entrée du Christ à Jérusalem;parole;entrée;acclamation;Jérusalem;arbre;palme;âne	"[""tm-xealmd2j"", ""tm-hwbpfzqq"", ""tm-tprdjwil"", ""tm-nbx9bzha"", ""tm-fmytavcm"", ""tm-havgveuu"", ""tm-a82fhexi"", ""tm-t3eufvzb"", ""tm-w7lp2rnh"", ""tm-z9mwuhfr"", ""tm-yvakcef7"", ""tm-eqnskbnq"", ""tm-zwcdxnyc"", ""tm-yp7umyrf""]"	"[""prophète"", ""Christ"", ""Juif"", ""vêtement"", ""phylactère"", ""livre"", ""entrée du Christ à Jérusalem"", ""parole"", ""entrée"", ""acclamation"", ""Jérusalem"", ""arbre"", ""palme"", ""âne""]"	001303.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001303.jpg	1303	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001303.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001303.jpg		['hérisson', 'mortier', 'psaume 1 : David et quatre musiciens', 'château', 'tables de la loi', 'hérisson', 'mortier', 'tables de la loi', 'tables de la loi']	['tm-xealmd2j', 'tm-hwbpfzqq', 'tm-tprdjwil', 'tm-nbx9bzha', 'tm-fmytavcm', 'tm-havgveuu', 'tm-a82fhexi', 'tm-t3eufvzb', 'tm-w7lp2rnh', 'tm-z9mwuhfr', 'tm-yvakcef7', 'tm-eqnskbnq', 'tm-zwcdxnyc', 'tm-yp7umyrf', '2', '9', '82', '3', '7']	['Christ', 'vêtement', 'phylactère', 'livre', 'parole', 'entrée', 'acclamation']	Christ; vêtement; phylactère; livre; parole; entrée; acclamation	['prophète', 'Juif', 'Jérusalem', 'arbre', 'palme', 'âne']	prophète; Juif; Jérusalem; arbre; palme; âne	[]		['entrée du Christ à Jérusalem']	entrée du Christ à Jérusalem	[]		[]		entrée du Christ à Jérusalem	6	entrée du Christ à Jérusalem	19.753685	0.19753684	1	712	Balaam et l'ânesse arrêtés par un ange	0.27055022
