title,image_url,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9
B751025206PH04PHOT68_bureauJMT_01_7_5_001,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000001.tif/full/full/0/default.jpg,1.4. Matériel de conditionnement,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_002,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000002.tif/full/full/0/default.jpg,1.4. Matériel de conditionnement,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_003,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000003.tif/full/full/0/default.jpg,1.1. Photographie,2.2. Objet,2.2.5 Objet archéologique,2.1.2.4 Statue,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_004,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000004.tif/full/full/0/default.jpg,2.2. Objet,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_005,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000005.tif/full/full/0/default.jpg,1.1. Photographie,2.2. Objet,2.2.5 Objet archéologique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_006,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000006.tif/full/full/0/default.jpg,2.2. Objet,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_007,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000007.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_008,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000008.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_009,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000009.tif/full/full/0/default.jpg,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_010,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000010.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_011,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000011.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_012,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000012.tif/full/full/0/default.jpg,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_013,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000013.tif/full/full/0/default.jpg,2.1.2 Monument mineur et pierres tombales,2.1.2.3 Monument à colonne ou à stèle quadrilatérale,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_014,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000014.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_015,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000015.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_016,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000016.tif/full/full/0/default.jpg,2.2.5 Objet archéologique,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_017,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000017.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_018,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000018.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_019,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000019.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_020,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000020.tif/full/full/0/default.jpg,1.1. Photographie,2.1.2 Monument mineur et pierres tombales,2.1.2.3 Monument à colonne ou à stèle quadrilatérale,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_021,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000021.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_022,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000022.tif/full/full/0/default.jpg,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_023,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000023.tif/full/full/0/default.jpg,1.1. Photographie,2.1.2 Monument mineur et pierres tombales,2.1.2.3 Monument à colonne ou à stèle quadrilatérale,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_024,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000024.tif/full/full/0/default.jpg,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
