Image	image_filename	image_path	all_timel_ids_str	level_5_n	level_5_ids_str	level_5_labels_str	level_6_n	level_6_ids_str	level_6_labels_str	timel_labels	timel_labels_list	timel_ids	timel_ids_list
000001.jpg	000001.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000001.jpg	tm-hwbpfzqq; tm-wqg2nktt; tm-f4sqsvcv; tm-7schjv64; tm-sz7srifg; tm-9kefvmxz; tm-fmytavcm; tm-ec7e7dqn; tm-pphjzwxj; tm-6dqqjsez; tm-kancnlxz; tm-zn7lmvzm; 2; 4; 7; 64; 9; 6	1	tm-ec7e7dqn	couronnement de la Vierge	0			Christ;ange;Vierge;globe;couronne;siège (meuble);phylactère;couronnement de la Vierge;bénédiction;aigle;lion;taureau	"[""Christ"", ""ange"", ""Vierge"", ""globe"", ""couronne"", ""siège (meuble)"", ""phylactère"", ""couronnement de la Vierge"", ""bénédiction"", ""aigle"", ""lion"", ""taureau""]"	tm-hwbpfzqq;tm-wqg2nktt;tm-f4sqsvcv;tm-7schjv64;tm-sz7srifg;tm-9kefvmxz;tm-fmytavcm;tm-ec7e7dqn;tm-pphjzwxj;tm-6dqqjsez;tm-kancnlxz;tm-zn7lmvzm	"[""tm-hwbpfzqq"", ""tm-wqg2nktt"", ""tm-f4sqsvcv"", ""tm-7schjv64"", ""tm-sz7srifg"", ""tm-9kefvmxz"", ""tm-fmytavcm"", ""tm-ec7e7dqn"", ""tm-pphjzwxj"", ""tm-6dqqjsez"", ""tm-kancnlxz"", ""tm-zn7lmvzm""]"
000034.jpg	000034.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	tm-hwbpfzqq; tm-sgdxywfz; tm-5adgngxc; tm-fwrnui8f; tm-gbucvvq7; tm-rwshbisj; tm-9kefvmxz; tm-v4tpboqn; tm-sv297fut; tm-l66mtgn3; tm-labqwtqc; tm-rv3awyda; tm-iv4xh9vr; tm-fhygwvhh; tm-wn7xh6hg; tm-z7yqwjx3; tm-zk5macbs; tm-vhj2urqn; 5; 8; 7; 9; 4; 297; 66; 3; 6; 2	0			2	tm-labqwtqc; tm-rv3awyda	Cène; Christ lavant les pieds des apôtres	Christ;saint Pierre;Judas;pain;couteau;plat;siège (meuble);table;cuve;lampe;Cène;Christ lavant les pieds des apôtres;don;communion;lavement des pieds;repas;poisson;eau	"[""Christ"", ""saint Pierre"", ""Judas"", ""pain"", ""couteau"", ""plat"", ""siège (meuble)"", ""table"", ""cuve"", ""lampe"", ""Cène"", ""Christ lavant les pieds des apôtres"", ""don"", ""communion"", ""lavement des pieds"", ""repas"", ""poisson"", ""eau""]"	tm-hwbpfzqq;tm-sgdxywfz;tm-5adgngxc;tm-fwrnui8f;tm-gbucvvq7;tm-rwshbisj;tm-9kefvmxz;tm-v4tpboqn;tm-sv297fut;tm-l66mtgn3;tm-labqwtqc;tm-rv3awyda;tm-iv4xh9vr;tm-fhygwvhh;tm-wn7xh6hg;tm-z7yqwjx3;tm-zk5macbs;tm-vhj2urqn	"[""tm-hwbpfzqq"", ""tm-sgdxywfz"", ""tm-5adgngxc"", ""tm-fwrnui8f"", ""tm-gbucvvq7"", ""tm-rwshbisj"", ""tm-9kefvmxz"", ""tm-v4tpboqn"", ""tm-sv297fut"", ""tm-l66mtgn3"", ""tm-labqwtqc"", ""tm-rv3awyda"", ""tm-iv4xh9vr"", ""tm-fhygwvhh"", ""tm-wn7xh6hg"", ""tm-z7yqwjx3"", ""tm-zk5macbs"", ""tm-vhj2urqn""]"
000068.jpg	000068.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000068.jpg	tm-yvbeeq99; tm-9kefvmxz; tm-9eatbdmw; tm-xispmbuy; tm-pxph757a; tm-rk9cwdhw; tm-6m8nrco5; tm-gsmxbnkq; 99; 9; 757; 6; 8; 5	0			0			cuillère;siège (meuble);coupe (recipients et contenants);toilette;mort (thème);funérailles;nudité;cadavre	"[""cuillère"", ""siège (meuble)"", ""coupe (recipients et contenants)"", ""toilette"", ""mort (thème)"", ""funérailles"", ""nudité"", ""cadavre""]"	tm-yvbeeq99;tm-9kefvmxz;tm-9eatbdmw;tm-xispmbuy;tm-pxph757a;tm-rk9cwdhw;tm-6m8nrco5;tm-gsmxbnkq	"[""tm-yvbeeq99"", ""tm-9kefvmxz"", ""tm-9eatbdmw"", ""tm-xispmbuy"", ""tm-pxph757a"", ""tm-rk9cwdhw"", ""tm-6m8nrco5"", ""tm-gsmxbnkq""]"
000125.jpg	000125.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000125.jpg	tm-p6bpbd6j; tm-9kefvmxz; tm-gpudcb9k; tm-cpdgl5r4; tm-mozr2ruc; tm-zipc8ufd; tm-l5texchk; 6; 9; 5; 4; 2; 8	0			0			Néhémie;siège (meuble);pupitre;écrit;dénombrement;compte;lecture	"[""Néhémie"", ""siège (meuble)"", ""pupitre"", ""écrit"", ""dénombrement"", ""compte"", ""lecture""]"	tm-p6bpbd6j;tm-9kefvmxz;tm-gpudcb9k;tm-cpdgl5r4;tm-mozr2ruc;tm-zipc8ufd;tm-l5texchk	"[""tm-p6bpbd6j"", ""tm-9kefvmxz"", ""tm-gpudcb9k"", ""tm-cpdgl5r4"", ""tm-mozr2ruc"", ""tm-zipc8ufd"", ""tm-l5texchk""]"
000155.jpg	000155.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000155.jpg	tm-xealmd2j; tm-zuuahrqr; tm-msrzrwxs; tm-fmytavcm; tm-havgveuu; tm-t3eufvzb; tm-mg8vhxe3; tm-ao9wtg4s; tm-pkqnaz9x; tm-qj2ns7xh; 2; 3; 8; 9; 4; 7	0			0			prophète;Michée;Dieu;phylactère;livre;parole;inspiration divine;apparition;hybride;anthropocéphale	"[""prophète"", ""Michée"", ""Dieu"", ""phylactère"", ""livre"", ""parole"", ""inspiration divine"", ""apparition"", ""hybride"", ""anthropocéphale""]"	tm-xealmd2j;tm-zuuahrqr;tm-msrzrwxs;tm-fmytavcm;tm-havgveuu;tm-t3eufvzb;tm-mg8vhxe3;tm-ao9wtg4s;tm-pkqnaz9x;tm-qj2ns7xh	"[""tm-xealmd2j"", ""tm-zuuahrqr"", ""tm-msrzrwxs"", ""tm-fmytavcm"", ""tm-havgveuu"", ""tm-t3eufvzb"", ""tm-mg8vhxe3"", ""tm-ao9wtg4s"", ""tm-pkqnaz9x"", ""tm-qj2ns7xh""]"
000182.jpg	000182.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000182.jpg	tm-ramxaadu; tm-ivsdfebq; tm-7hywljpa; 7	0			0			saint Paul;épée;exhibition	"[""saint Paul"", ""épée"", ""exhibition""]"	tm-ramxaadu;tm-ivsdfebq;tm-7hywljpa	"[""tm-ramxaadu"", ""tm-ivsdfebq"", ""tm-7hywljpa""]"
000207.jpg	000207.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000207.jpg	tm-msrzrwxs; tm-kewga8kz; tm-pfwxhqgh; tm-gpu9gq8p; tm-zk5macbs; tm-bqscor5q; tm-hvmbbgkw; tm-pfvwqfgm; tm-vhj2urqn; tm-wm29lpvh; tm-qucshbfi; tm-xqrthxrm; tm-hywxiizx; 8; 9; 5; 2; 29	0			1	tm-kewga8kz	création des poissons et des oiseaux	Dieu;création des poissons et des oiseaux;envol;anguille;poisson;oiseau;nuée;Terre;eau;lumière-rayon;étoile;soleil (sphère céleste);ciel	"[""Dieu"", ""création des poissons et des oiseaux"", ""envol"", ""anguille"", ""poisson"", ""oiseau"", ""nuée"", ""Terre"", ""eau"", ""lumière-rayon"", ""étoile"", ""soleil (sphère céleste)"", ""ciel""]"	tm-msrzrwxs;tm-kewga8kz;tm-pfwxhqgh;tm-gpu9gq8p;tm-zk5macbs;tm-bqscor5q;tm-hvmbbgkw;tm-pfvwqfgm;tm-vhj2urqn;tm-wm29lpvh;tm-qucshbfi;tm-xqrthxrm;tm-hywxiizx	"[""tm-msrzrwxs"", ""tm-kewga8kz"", ""tm-pfwxhqgh"", ""tm-gpu9gq8p"", ""tm-zk5macbs"", ""tm-bqscor5q"", ""tm-hvmbbgkw"", ""tm-pfvwqfgm"", ""tm-vhj2urqn"", ""tm-wm29lpvh"", ""tm-qucshbfi"", ""tm-xqrthxrm"", ""tm-hywxiizx""]"
000253.jpg	000253.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000253.jpg	tm-duxo4cw7; tm-cuqtzlfj; tm-vx2bdgtc; tm-cat27oby; tm-cyrdqdmq; tm-efvqujfg; tm-f7ixh9g3; tm-pfptrntr; tm-auuaj3db; tm-vhj2urqn; tm-umdqguzy; 4; 7; 2; 27; 9; 3	0			1	tm-vx2bdgtc	sortie d'Égypte	Moïse;bâton;sortie d'Égypte;désignation;franchissement;guide;départ;sortie;mer Rouge;eau;corne (corps humain et animal)	"[""Moïse"", ""bâton"", ""sortie d'Égypte"", ""désignation"", ""franchissement"", ""guide"", ""départ"", ""sortie"", ""mer Rouge"", ""eau"", ""corne (corps humain et animal)""]"	tm-duxo4cw7;tm-cuqtzlfj;tm-vx2bdgtc;tm-cat27oby;tm-cyrdqdmq;tm-efvqujfg;tm-f7ixh9g3;tm-pfptrntr;tm-auuaj3db;tm-vhj2urqn;tm-umdqguzy	"[""tm-duxo4cw7"", ""tm-cuqtzlfj"", ""tm-vx2bdgtc"", ""tm-cat27oby"", ""tm-cyrdqdmq"", ""tm-efvqujfg"", ""tm-f7ixh9g3"", ""tm-pfptrntr"", ""tm-auuaj3db"", ""tm-vhj2urqn"", ""tm-umdqguzy""]"
000279.jpg	000279.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000279.jpg	tm-7vxqehgi; tm-msrzrwxs; tm-wqg2nktt; tm-sz7srifg; tm-mqvexyu4; tm-svcahr7m; tm-h7vxh9ju; tm-hxm4mzvu; tm-wtnt2nl3; tm-mg4wybom; tm-6pbjxilu; tm-b8j3oono; tm-hvmbbgkw; tm-sxnxdfha; 7; 2; 4; 9; 3; 6; 8	0			1	tm-h7vxh9ju	création de la lumière	Église (personnifications et allégories);Dieu;ange;couronne;croix;calice;création de la lumière;damnation;salut;Enfer;feu;ténèbre;nuée;lumière	"[""Église (personnifications et allégories)"", ""Dieu"", ""ange"", ""couronne"", ""croix"", ""calice"", ""création de la lumière"", ""damnation"", ""salut"", ""Enfer"", ""feu"", ""ténèbre"", ""nuée"", ""lumière""]"	tm-7vxqehgi;tm-msrzrwxs;tm-wqg2nktt;tm-sz7srifg;tm-mqvexyu4;tm-svcahr7m;tm-h7vxh9ju;tm-hxm4mzvu;tm-wtnt2nl3;tm-mg4wybom;tm-6pbjxilu;tm-b8j3oono;tm-hvmbbgkw;tm-sxnxdfha	"[""tm-7vxqehgi"", ""tm-msrzrwxs"", ""tm-wqg2nktt"", ""tm-sz7srifg"", ""tm-mqvexyu4"", ""tm-svcahr7m"", ""tm-h7vxh9ju"", ""tm-hxm4mzvu"", ""tm-wtnt2nl3"", ""tm-mg4wybom"", ""tm-6pbjxilu"", ""tm-b8j3oono"", ""tm-hvmbbgkw"", ""tm-sxnxdfha""]"
000359.jpg	000359.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000359.jpg	tm-fpmjpxku; tm-zuecdty7; tm-3r3s7buw; tm-5vghyucs; tm-hbowfqvv; tm-rwshbisj; tm-ivsdfebq; tm-hddc4hiq; tm-wessg6gv; tm-5f2s36gq; tm-kafe9avd; tm-4i6tpwwx; tm-8oejwaxu; tm-hmiqkvsn; tm-hvmbbgkw; tm-yeqsgfda; tm-cqphs5qs; 7; 3; 5; 4; 6; 2; 36; 9; 8	0			0			Jacob;clerc;tente;architecture;monastère;plat;épée;rencontre;discussion;tentation;poursuite;vice;orgueil;faucon;nuée;montagne;or	"[""Jacob"", ""clerc"", ""tente"", ""architecture"", ""monastère"", ""plat"", ""épée"", ""rencontre"", ""discussion"", ""tentation"", ""poursuite"", ""vice"", ""orgueil"", ""faucon"", ""nuée"", ""montagne"", ""or""]"	tm-fpmjpxku;tm-zuecdty7;tm-3r3s7buw;tm-5vghyucs;tm-hbowfqvv;tm-rwshbisj;tm-ivsdfebq;tm-hddc4hiq;tm-wessg6gv;tm-5f2s36gq;tm-kafe9avd;tm-4i6tpwwx;tm-8oejwaxu;tm-hmiqkvsn;tm-hvmbbgkw;tm-yeqsgfda;tm-cqphs5qs	"[""tm-fpmjpxku"", ""tm-zuecdty7"", ""tm-3r3s7buw"", ""tm-5vghyucs"", ""tm-hbowfqvv"", ""tm-rwshbisj"", ""tm-ivsdfebq"", ""tm-hddc4hiq"", ""tm-wessg6gv"", ""tm-5f2s36gq"", ""tm-kafe9avd"", ""tm-4i6tpwwx"", ""tm-8oejwaxu"", ""tm-hmiqkvsn"", ""tm-hvmbbgkw"", ""tm-yeqsgfda"", ""tm-cqphs5qs""]"
