image_idx	image_path	image_id	level	mode	node_id	label	prompt_text	path_labels	clip_cosine
0	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000001.jpg	000001.jpg	5	raw	tm-ec7e7dqn	couronnement de la Vierge	couronnement de la Vierge	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> couronnement de la Vierge	0.2572236657142639
0	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000001.jpg	000001.jpg	5	template	tm-ec7e7dqn	couronnement de la Vierge	a religious painting of couronnement de la Vierge	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> couronnement de la Vierge	0.28124138712882996
0	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000001.jpg	000001.jpg	5	path	tm-ec7e7dqn	couronnement de la Vierge	a religious painting of couronnement de la Vierge, a vie de la Vierge in sujet	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> couronnement de la Vierge	0.2771627902984619
69	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002476.jpg	002476.jpg	5	raw	tm-g4qqthqd	Samuel et les anciens d'Israël	Samuel et les anciens d'Israël	sujet -> Bible -> Ancien Testament -> Samuel (sujets) -> Samuel et les anciens d'Israël	0.21535168588161469
69	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002476.jpg	002476.jpg	5	template	tm-g4qqthqd	Samuel et les anciens d'Israël	a religious painting of Samuel et les anciens d'Israël	sujet -> Bible -> Ancien Testament -> Samuel (sujets) -> Samuel et les anciens d'Israël	0.27002790570259094
69	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002476.jpg	002476.jpg	5	path	tm-g4qqthqd	Samuel et les anciens d'Israël	a religious painting of Samuel et les anciens d'Israël, a Samuel (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Samuel (sujets) -> Samuel et les anciens d'Israël	0.2852858304977417
82	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002842.jpg	002842.jpg	5	raw	tm-zgdxviae	pendaison d'Aman	pendaison d'Aman	sujet -> Bible -> Ancien Testament -> Esther (sujets) -> pendaison d'Aman	0.21755856275558472
82	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002842.jpg	002842.jpg	5	template	tm-zgdxviae	pendaison d'Aman	a religious painting of pendaison d'Aman	sujet -> Bible -> Ancien Testament -> Esther (sujets) -> pendaison d'Aman	0.2788788676261902
82	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002842.jpg	002842.jpg	5	path	tm-zgdxviae	pendaison d'Aman	a religious painting of pendaison d'Aman, a Esther (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Esther (sujets) -> pendaison d'Aman	0.276900053024292
135	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004642.jpg	004642.jpg	5	raw	tm-sqydxkbw	abattage du cochon	abattage du cochon	sujet -> agriculture, artisanat et commerce, vie quotidienne, calendrier -> calendrier (sujets) -> mois de décembre -> abattage du cochon	0.13903379440307617
135	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004642.jpg	004642.jpg	5	template	tm-sqydxkbw	abattage du cochon	a religious painting of abattage du cochon	sujet -> agriculture, artisanat et commerce, vie quotidienne, calendrier -> calendrier (sujets) -> mois de décembre -> abattage du cochon	0.21140527725219727
