image_idx	image_path	image_id	level	mode	node_id	label	prompt_text	path_labels	clip_cosine
1	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	000034.jpg	6	raw	tm-labqwtqc	Cène	Cène	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Cène	0.22371642291545868
1	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	000034.jpg	6	template	tm-labqwtqc	Cène	a religious painting of Cène	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Cène	0.2693864107131958
1	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	000034.jpg	6	path	tm-labqwtqc	Cène	a religious painting of Cène, a passion in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Cène	0.2781796455383301
1	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	000034.jpg	6	raw	tm-rv3awyda	Christ lavant les pieds des apôtres	Christ lavant les pieds des apôtres	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Christ lavant les pieds des apôtres	0.26194149255752563
1	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	000034.jpg	6	template	tm-rv3awyda	Christ lavant les pieds des apôtres	a religious painting of Christ lavant les pieds des apôtres	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Christ lavant les pieds des apôtres	0.23968034982681274
1	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	000034.jpg	6	path	tm-rv3awyda	Christ lavant les pieds des apôtres	a religious painting of Christ lavant les pieds des apôtres, a passion in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Christ lavant les pieds des apôtres	0.24911484122276306
6	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000207.jpg	000207.jpg	6	raw	tm-kewga8kz	création des poissons et des oiseaux	création des poissons et des oiseaux	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création des poissons et des oiseaux	0.13438156247138977
6	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000207.jpg	000207.jpg	6	template	tm-kewga8kz	création des poissons et des oiseaux	a religious painting of création des poissons et des oiseaux	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création des poissons et des oiseaux	0.27327072620391846
6	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000207.jpg	000207.jpg	6	path	tm-kewga8kz	création des poissons et des oiseaux	a religious painting of création des poissons et des oiseaux, a Création (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création des poissons et des oiseaux	0.2696317434310913
7	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000253.jpg	000253.jpg	6	raw	tm-vx2bdgtc	sortie d'Égypte	sortie d'Égypte	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.1562180370092392
7	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000253.jpg	000253.jpg	6	template	tm-vx2bdgtc	sortie d'Égypte	a religious painting of sortie d'Égypte	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.2238900065422058
7	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000253.jpg	000253.jpg	6	path	tm-vx2bdgtc	sortie d'Égypte	a religious painting of sortie d'Égypte, a Moïse (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.2452341616153717
8	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000279.jpg	000279.jpg	6	raw	tm-h7vxh9ju	création de la lumière	création de la lumière	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création de la lumière	0.18513275682926178
8	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000279.jpg	000279.jpg	6	template	tm-h7vxh9ju	création de la lumière	a religious painting of création de la lumière	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création de la lumière	0.2781597971916199
8	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000279.jpg	000279.jpg	6	path	tm-h7vxh9ju	création de la lumière	a religious painting of création de la lumière, a Création (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création de la lumière	0.28038346767425537
18	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000816.jpg	000816.jpg	6	raw	tm-d9fpbefh	baptême du Christ	baptême du Christ	sujet -> Bible -> Nouveau Testament -> vie du Christ -> vie publique -> baptême du Christ	0.2409009039402008
18	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000816.jpg	000816.jpg	6	template	tm-d9fpbefh	baptême du Christ	a religious painting of baptême du Christ	sujet -> Bible -> Nouveau Testament -> vie du Christ -> vie publique -> baptême du Christ	0.2449422925710678
18	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000816.jpg	000816.jpg	6	path	tm-d9fpbefh	baptême du Christ	a religious painting of baptême du Christ, a vie publique in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> vie publique -> baptême du Christ	0.24752508103847504
21	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000893.jpg	000893.jpg	6	raw	tm-vx2bdgtc	sortie d'Égypte	sortie d'Égypte	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.1303447037935257
21	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000893.jpg	000893.jpg	6	template	tm-vx2bdgtc	sortie d'Égypte	a religious painting of sortie d'Égypte	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.22975221276283264
21	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000893.jpg	000893.jpg	6	path	tm-vx2bdgtc	sortie d'Égypte	a religious painting of sortie d'Égypte, a Moïse (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.24924378097057343
23	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000942.jpg	000942.jpg	6	raw	tm-kgblaf2c	jugement de Salomon	jugement de Salomon	sujet -> Bible -> Ancien Testament -> les Rois -> Salomon (sujets) -> jugement de Salomon	0.22196879982948303
23	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000942.jpg	000942.jpg	6	template	tm-kgblaf2c	jugement de Salomon	a religious painting of jugement de Salomon	sujet -> Bible -> Ancien Testament -> les Rois -> Salomon (sujets) -> jugement de Salomon	0.27244120836257935
23	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000942.jpg	000942.jpg	6	path	tm-kgblaf2c	jugement de Salomon	a religious painting of jugement de Salomon, a Salomon (sujets) in sujet	sujet -> Bible -> Ancien Testament -> les Rois -> Salomon (sujets) -> jugement de Salomon	0.27785852551460266
29	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001137.jpg	001137.jpg	6	raw	tm-ggtqslg5	sixième sceau de l'Apocalypse : anges retenant les vents	sixième sceau de l'Apocalypse : anges retenant les vents	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : anges retenant les vents	0.2275197058916092
29	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001137.jpg	001137.jpg	6	template	tm-ggtqslg5	sixième sceau de l'Apocalypse : anges retenant les vents	a religious painting of sixième sceau de l'Apocalypse : anges retenant les vents	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : anges retenant les vents	0.299031138420105
29	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001137.jpg	001137.jpg	6	path	tm-ggtqslg5	sixième sceau de l'Apocalypse : anges retenant les vents	a religious painting of sixième sceau de l'Apocalypse : anges retenant les vents, a ouverture des sept sceaux in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : anges retenant les vents	0.3216039836406708
31	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001184.jpg	001184.jpg	6	raw	tm-3tmpspdf	ange jetant une meule dans la mer	ange jetant une meule dans la mer	sujet -> Bible -> Nouveau Testament -> Apocalypse -> prostituée et destruction de Babylone -> ange jetant une meule dans la mer	0.3016816973686218
31	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001184.jpg	001184.jpg	6	template	tm-3tmpspdf	ange jetant une meule dans la mer	a religious painting of ange jetant une meule dans la mer	sujet -> Bible -> Nouveau Testament -> Apocalypse -> prostituée et destruction de Babylone -> ange jetant une meule dans la mer	0.33666062355041504
31	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001184.jpg	001184.jpg	6	path	tm-3tmpspdf	ange jetant une meule dans la mer	a religious painting of ange jetant une meule dans la mer, a prostituée et destruction de Babylone in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> prostituée et destruction de Babylone -> ange jetant une meule dans la mer	0.3327847421169281
35	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001303.jpg	001303.jpg	6	raw	tm-a82fhexi	entrée du Christ à Jérusalem	entrée du Christ à Jérusalem	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> entrée du Christ à Jérusalem	0.19753684103488922
35	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001303.jpg	001303.jpg	6	template	tm-a82fhexi	entrée du Christ à Jérusalem	a religious painting of entrée du Christ à Jérusalem	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> entrée du Christ à Jérusalem	0.27012506127357483
35	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001303.jpg	001303.jpg	6	path	tm-a82fhexi	entrée du Christ à Jérusalem	a religious painting of entrée du Christ à Jérusalem, a passion in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> entrée du Christ à Jérusalem	0.2779020667076111
44	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001694.jpg	001694.jpg	6	raw	tm-h78uswml	adoration de l'agneau divin sur le mont Sion	adoration de l'agneau divin sur le mont Sion	sujet -> Bible -> Nouveau Testament -> Apocalypse -> vision de l'agneau, moisson et vendange divines -> adoration de l'agneau divin sur le mont Sion	0.2700212597846985
44	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001694.jpg	001694.jpg	6	template	tm-h78uswml	adoration de l'agneau divin sur le mont Sion	a religious painting of adoration de l'agneau divin sur le mont Sion	sujet -> Bible -> Nouveau Testament -> Apocalypse -> vision de l'agneau, moisson et vendange divines -> adoration de l'agneau divin sur le mont Sion	0.25626444816589355
44	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001694.jpg	001694.jpg	6	path	tm-h78uswml	adoration de l'agneau divin sur le mont Sion	a religious painting of adoration de l'agneau divin sur le mont Sion, a vision de l'agneau, moisson et vendange divines in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> vision de l'agneau, moisson et vendange divines -> adoration de l'agneau divin sur le mont Sion	0.2747010588645935
45	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001717.jpg	001717.jpg	6	raw	tm-aztf9mvn	saint Jean écrivant	saint Jean écrivant	sujet -> Bible -> Nouveau Testament -> Apocalypse -> messages aux sept Églises d'Asie -> saint Jean écrivant	0.2349880337715149
45	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001717.jpg	001717.jpg	6	template	tm-aztf9mvn	saint Jean écrivant	a religious painting of saint Jean écrivant	sujet -> Bible -> Nouveau Testament -> Apocalypse -> messages aux sept Églises d'Asie -> saint Jean écrivant	0.2527974843978882
45	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001717.jpg	001717.jpg	6	path	tm-aztf9mvn	saint Jean écrivant	a religious painting of saint Jean écrivant, a messages aux sept Églises d'Asie in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> messages aux sept Églises d'Asie -> saint Jean écrivant	0.28907305002212524
46	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001749.jpg	001749.jpg	6	raw	tm-ewtkhvz8	meurtre des deux témoins de l'Apocalypse	meurtre des deux témoins de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> témoins de l'Apocalypse -> meurtre des deux témoins de l'Apocalypse	0.22047370672225952
46	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001749.jpg	001749.jpg	6	template	tm-ewtkhvz8	meurtre des deux témoins de l'Apocalypse	a religious painting of meurtre des deux témoins de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> témoins de l'Apocalypse -> meurtre des deux témoins de l'Apocalypse	0.2818593382835388
46	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001749.jpg	001749.jpg	6	path	tm-ewtkhvz8	meurtre des deux témoins de l'Apocalypse	a religious painting of meurtre des deux témoins de l'Apocalypse, a témoins de l'Apocalypse in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> témoins de l'Apocalypse -> meurtre des deux témoins de l'Apocalypse	0.28704607486724854
47	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001777.jpg	001777.jpg	6	raw	tm-ytphytj3	sept coupes de l'Apocalypse : fléaux	sept coupes de l'Apocalypse : fléaux	sujet -> Bible -> Nouveau Testament -> Apocalypse -> sept coupes de l'Apocalypse -> sept coupes de l'Apocalypse : fléaux	0.1813959777355194
47	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001777.jpg	001777.jpg	6	template	tm-ytphytj3	sept coupes de l'Apocalypse : fléaux	a religious painting of sept coupes de l'Apocalypse : fléaux	sujet -> Bible -> Nouveau Testament -> Apocalypse -> sept coupes de l'Apocalypse -> sept coupes de l'Apocalypse : fléaux	0.2875525951385498
